node_id,signature,class_name,method_name,descriptor,external,entrypoint,methodname,accessflags,classname
Lcom/google/gson/internal/$Gson$Types; typeToString (Ljava/lang/reflect/Type;)Ljava/lang/String;,Lcom/google/gson/internal/$Gson$Types; typeToString (Ljava/lang/reflect/Type;)Ljava/lang/String;,,,(Ljava/lang/reflect/Type;)Ljava/lang/String;,False,False,typeToString,public static,Lcom/google/gson/internal/$Gson$Types;
Lcom/google/gson/internal/$Gson$Types$ParameterizedTypeImpl; <init> (Ljava/lang/reflect/Type; Ljava/lang/reflect/Type; [Ljava/lang/reflect/Type;)V,Lcom/google/gson/internal/$Gson$Types$ParameterizedTypeImpl; <init> (Ljava/lang/reflect/Type; Ljava/lang/reflect/Type; [Ljava/lang/reflect/Type;)V,,,(Ljava/lang/reflect/Type; Ljava/lang/reflect/Type; [Ljava/lang/reflect/Type;)V,False,False,<init>,public varargs constructor,Lcom/google/gson/internal/$Gson$Types$ParameterizedTypeImpl;
Ljava/lang/reflect/Modifier; isStatic (I)Z,Ljava/lang/reflect/Modifier; isStatic (I)Z,,,(I)Z,True,False,isStatic,,Ljava/lang/reflect/Modifier;
Ljava/lang/reflect/Type; clone ()Ljava/lang/Object;,Ljava/lang/reflect/Type; clone ()Ljava/lang/Object;,,,()Ljava/lang/Object;,True,False,clone,,Ljava/lang/reflect/Type;
Lcom/google/gson/internal/$Gson$Types; checkNotPrimitive (Ljava/lang/reflect/Type;)V,Lcom/google/gson/internal/$Gson$Types; checkNotPrimitive (Ljava/lang/reflect/Type;)V,,,(Ljava/lang/reflect/Type;)V,False,False,checkNotPrimitive,public static,Lcom/google/gson/internal/$Gson$Types;
Ljava/lang/Class; getEnclosingClass ()Ljava/lang/Class;,Ljava/lang/Class; getEnclosingClass ()Ljava/lang/Class;,,,()Ljava/lang/Class;,True,False,getEnclosingClass,,Ljava/lang/Class;
Ljava/lang/Class; getModifiers ()I,Ljava/lang/Class; getModifiers ()I,,,()I,True,False,getModifiers,,Ljava/lang/Class;
Lcom/google/gson/internal/$Gson$Types$ParameterizedTypeImpl; hashCodeOrZero (Ljava/lang/Object;)I,Lcom/google/gson/internal/$Gson$Types$ParameterizedTypeImpl; hashCodeOrZero (Ljava/lang/Object;)I,,,(Ljava/lang/Object;)I,False,False,hashCodeOrZero,private static,Lcom/google/gson/internal/$Gson$Types$ParameterizedTypeImpl;
Lcom/google/gson/internal/$Gson$Types$ParameterizedTypeImpl; equals (Ljava/lang/Object;)Z,Lcom/google/gson/internal/$Gson$Types$ParameterizedTypeImpl; equals (Ljava/lang/Object;)Z,,,(Ljava/lang/Object;)Z,False,False,equals,public,Lcom/google/gson/internal/$Gson$Types$ParameterizedTypeImpl;
Lcom/google/gson/internal/$Gson$Types$ParameterizedTypeImpl; getActualTypeArguments ()[Ljava/lang/reflect/Type;,Lcom/google/gson/internal/$Gson$Types$ParameterizedTypeImpl; getActualTypeArguments ()[Ljava/lang/reflect/Type;,,,()[Ljava/lang/reflect/Type;,False,False,getActualTypeArguments,public,Lcom/google/gson/internal/$Gson$Types$ParameterizedTypeImpl;
Lcom/google/gson/internal/$Gson$Types$ParameterizedTypeImpl; hashCode ()I,Lcom/google/gson/internal/$Gson$Types$ParameterizedTypeImpl; hashCode ()I,,,()I,False,False,hashCode,public,Lcom/google/gson/internal/$Gson$Types$ParameterizedTypeImpl;
Lcom/google/gson/internal/$Gson$Types$ParameterizedTypeImpl; toString ()Ljava/lang/String;,Lcom/google/gson/internal/$Gson$Types$ParameterizedTypeImpl; toString ()Ljava/lang/String;,,,()Ljava/lang/String;,False,False,toString,public,Lcom/google/gson/internal/$Gson$Types$ParameterizedTypeImpl;
Ljava/lang/StringBuilder; <init> (I)V,Ljava/lang/StringBuilder; <init> (I)V,,,(I)V,True,False,<init>,,Ljava/lang/StringBuilder;
