node_id,signature,class_dot,method_name,descriptor,external,degree,katz,closeness,harmonic
Landroid/animation/Animator; setTarget (Ljava/lang/Object;)V,Landroid/animation/Animator; setTarget (Ljava/lang/Object;)V,,,(Ljava/lang/Object;)V,True,0.00012254901960784314,0.00782182969299173,0.0,0.0
Landroid/view/View; startAnimation (Landroid/view/animation/Animation;)V,Landroid/view/View; startAnimation (Landroid/view/animation/Animation;)V,,,(Landroid/view/animation/Animation;)V,True,6.127450980392157e-05,0.007815532490964533,0.0,0.0
Lv0/b1; p (Ljava/lang/Object; Landroid/view/View; Ljava/util/ArrayList;)V,Lv0/b1; p (Ljava/lang/Object; Landroid/view/View; Ljava/util/ArrayList;)V,,,(Ljava/lang/Object; Landroid/view/View; Ljava/util/ArrayList;)V,False,6.127450980392157e-05,0.007815532490964533,0.0,0.0
Lv0/b1; k (Ljava/lang/Object; Landroid/view/View; Ljava/util/ArrayList;)V,Lv0/b1; k (Ljava/lang/Object; Landroid/view/View; Ljava/util/ArrayList;)V,,,(Ljava/lang/Object; Landroid/view/View; Ljava/util/ArrayList;)V,False,6.127450980392157e-05,0.007815532490964533,0.0,0.0
Lv0/h; <init> (Lv0/g1; Lf0/d; Z)V,Lv0/h; <init> (Lv0/g1; Lf0/d; Z)V,,,(Lv0/g1; Lf0/d; Z)V,False,0.00012254901960784314,0.007815532490964533,8.169934640522875e-05,9.191176470588235e-05
Ljava/util/ArrayList; listIterator (I)Ljava/util/ListIterator;,Ljava/util/ArrayList; listIterator (I)Ljava/util/ListIterator;,,,(I)Ljava/util/ListIterator;,True,0.00012254901960784314,0.00782183476683401,0.0,0.0
Lv0/b1; b (Ljava/lang/Object; Ljava/util/ArrayList;)V,Lv0/b1; b (Ljava/lang/Object; Ljava/util/ArrayList;)V,,,(Ljava/lang/Object; Ljava/util/ArrayList;)V,False,6.127450980392157e-05,0.007815532490964533,0.0,0.0
Lv0/b1; m (Landroid/view/View; Ljava/lang/Object;)V,Lv0/b1; m (Landroid/view/View; Ljava/lang/Object;)V,,,(Landroid/view/View; Ljava/lang/Object;)V,False,6.127450980392157e-05,0.007815532490964533,0.0,0.0
Lv0/b1; q (Ljava/lang/Object; Ljava/util/ArrayList; Ljava/util/ArrayList;)V,Lv0/b1; q (Ljava/lang/Object; Ljava/util/ArrayList; Ljava/util/ArrayList;)V,,,(Ljava/lang/Object; Ljava/util/ArrayList; Ljava/util/ArrayList;)V,False,6.127450980392157e-05,0.007815532490964533,0.0,0.0
Lv0/b1; l (Ljava/lang/Object; Ljava/lang/Object; Ljava/util/ArrayList; Ljava/lang/Object; Ljava/util/ArrayList;)V,Lv0/b1; l (Ljava/lang/Object; Ljava/lang/Object; Ljava/util/ArrayList; Ljava/lang/Object; Ljava/util/ArrayList;)V,,,(Ljava/lang/Object; Ljava/lang/Object; Ljava/util/ArrayList; Ljava/lang/Object; Ljava/util/ArrayList;)V,False,6.127450980392157e-05,0.007815532490964533,0.0,0.0
Lv0/b1; n (Ljava/lang/Object; Landroid/graphics/Rect;)V,Lv0/b1; n (Ljava/lang/Object; Landroid/graphics/Rect;)V,,,(Ljava/lang/Object; Landroid/graphics/Rect;)V,False,6.127450980392157e-05,0.007815532490964533,0.0,0.0
Lv0/i; <init> (Lv0/g1; Lf0/d; Z Z)V,Lv0/i; <init> (Lv0/g1; Lf0/d; Z Z)V,,,(Lv0/g1; Lf0/d; Z Z)V,False,0.0001838235294117647,0.007815532490964533,0.00013786764705882353,0.00015318627450980392
Lv0/b1; o (Ljava/lang/Object; Lf0/d; Lf/j0;)V,Lv0/b1; o (Ljava/lang/Object; Lf0/d; Lf/j0;)V,,,(Ljava/lang/Object; Lf0/d; Lf/j0;)V,False,6.127450980392157e-05,0.007815532490964533,0.0,0.0
Lv0/m; o ()V,Lv0/m; o ()V,,,()V,False,0.0006740196078431372,0.00782816755928452,0.0008659529988465975,0.001067197712418301
Lv0/m; m ()V,Lv0/m; m ()V,,,()V,False,0.0005514705882352941,0.007821824619149454,0.0010212418300653595,0.0012203839869281046
Lv0/n0; <init> ()V,Lv0/n0; <init> ()V,,,()V,False,0.0012254901960784314,0.007834439396185184,0.001094187675070028,0.0012459150326797385
Lv0/e0; <init> (Lv0/n0; I)V,Lv0/e0; <init> (Lv0/n0; I)V,,,(Lv0/n0; I)V,False,0.0001838235294117647,0.007821849988360843,6.127450980392157e-05,6.127450980392157e-05
Lv0/d0; <init> (Lv0/n0; I)V,Lv0/d0; <init> (Lv0/n0; I)V,,,(Lv0/n0; I)V,False,0.00012254901960784314,0.007815547712491367,6.127450980392157e-05,6.127450980392157e-05
Ljava/util/Collections; synchronizedMap (Ljava/util/Map;)Ljava/util/Map;,Ljava/util/Collections; synchronizedMap (Ljava/util/Map;)Ljava/util/Map;,,,(Ljava/util/Map;)Ljava/util/Map;,True,6.127450980392157e-05,0.007815547712491367,0.0,0.0
Ljava/util/concurrent/atomic/AtomicInteger; <init> ()V,Ljava/util/concurrent/atomic/AtomicInteger; <init> ()V,,,()V,True,0.0001838235294117647,0.007828152292824296,0.0,0.0
