api_order,api_text,class_dot,method_name,matched_count,matched_signatures
107,android.net.sip.SipManager close,android.net.sip.SipManager,close,0,[]
108,android.net.sip.SipManager createSipSession,android.net.sip.SipManager,createSipSession,0,[]
109,android.net.sip.SipManager getSessionFor,android.net.sip.SipManager,getSessionFor,0,[]
110,android.net.sip.SipManager isOpened,android.net.sip.SipManager,isOpened,0,[]
111,android.net.sip.SipManager isRegistered,android.net.sip.SipManager,isRegistered,0,[]
112,android.net.sip.SipManager makeAudioCall,android.net.sip.SipManager,makeAudioCall,0,[]
113,android.net.sip.SipManager open,android.net.sip.SipManager,open,0,[]
114,android.net.sip.SipManager register,android.net.sip.SipManager,register,0,[]
115,android.net.sip.SipManager setRegistrationListener,android.net.sip.SipManager,setRegistrationListener,0,[]
116,android.net.sip.SipManager takeAudioCall,android.net.sip.SipManager,takeAudioCall,0,[]
117,android.net.sip.SipManager unregister,android.net.sip.SipManager,unregister,0,[]
118,android.net.SSLCertificateSocketFactory getHttpSocketFactory,android.net.SSLCertificateSocketFactory,getHttpSocketFactory,0,[]
119,android.net.wifi.WifiManager disableNetwork,android.net.wifi.WifiManager,disableNetwork,0,[]
120,android.net.wifi.WifiManager disconnect,android.net.wifi.WifiManager,disconnect,0,[]
121,android.net.wifi.WifiManager enableNetwork,android.net.wifi.WifiManager,enableNetwork,0,[]
122,android.net.wifi.WifiManager getConfiguredNetworks,android.net.wifi.WifiManager,getConfiguredNetworks,0,[]
123,android.net.wifi.WifiManager isWifiEnabled,android.net.wifi.WifiManager,isWifiEnabled,0,[]
124,android.net.wifi.WifiManager saveConfiguration,android.net.wifi.WifiManager,saveConfiguration,0,[]
125,android.net.wifi.WifiManager setWifiEnabled,android.net.wifi.WifiManager,setWifiEnabled,0,[]
126,android.net.wifi.WifiManager updateNetwork,android.net.wifi.WifiManager,updateNetwork,0,[]
127,android.os.Bundle getClassLoader,android.os.Bundle,getClassLoader,0,[]
128,android.os.Environment getDataDirectory,android.os.Environment,getDataDirectory,0,[]
129,android.os.Environment getDownloadCacheDirectory,android.os.Environment,getDownloadCacheDirectory,0,[]
130,android.os.Environment getExternalStorageDirectory,android.os.Environment,getExternalStorageDirectory,0,[]
131,android.os.Environment getExternalStoragePublicDirectory,android.os.Environment,getExternalStoragePublicDirectory,0,[]
132,android.os.Environment getRootDirectory,android.os.Environment,getRootDirectory,0,[]
133,android.os.HandlerThread isAlive,android.os.HandlerThread,isAlive,0,[]
134,android.os.PowerManager newWakeLock,android.os.PowerManager,newWakeLock,0,[]
135,android.os.storage.StorageManager getPrimaryStorageVolume,android.os.storage.StorageManager,getPrimaryStorageVolume,0,[]
136,android.os.storage.StorageManager getStorageVolumes,android.os.storage.StorageManager,getStorageVolumes,0,[]
137,android.provider.Browser addSearchUrl,android.provider.Browser,addSearchUrl,0,[]
138,android.provider.Browser clearHistory,android.provider.Browser,clearHistory,0,[]
139,android.provider.Browser clearSearches,android.provider.Browser,clearSearches,0,[]
140,android.provider.Browser deleteFromHistory,android.provider.Browser,deleteFromHistory,0,[]
141,android.provider.Browser deleteHistoryTimeFrame,android.provider.Browser,deleteHistoryTimeFrame,0,[]
142,android.provider.Browser truncateHistory,android.provider.Browser,truncateHistory,0,[]
143,android.provider.Browser updateVisitedHistory,android.provider.Browser,updateVisitedHistory,0,[]
144,android.provider.CalendarContract insert,android.provider.CalendarContract,insert,0,[]
145,android.provider.CalendarContract query,android.provider.CalendarContract,query,0,[]
146,android.provider.CallLog getLastOutgoingCall,android.provider.CallLog,getLastOutgoingCall,0,[]
147,android.provider.Contacts addPostalLocation,android.provider.Contacts,addPostalLocation,0,[]
148,android.provider.Contacts addToGroup,android.provider.Contacts,addToGroup,0,[]
149,android.provider.Contacts addToMyContactsGroup,android.provider.Contacts,addToMyContactsGroup,0,[]
150,android.provider.Contacts createPersonInMyContactsGroup,android.provider.Contacts,createPersonInMyContactsGroup,0,[]
151,android.provider.Contacts getSetting,android.provider.Contacts,getSetting,0,[]
152,android.provider.Contacts markAsContacted,android.provider.Contacts,markAsContacted,0,[]
153,android.provider.Contacts queryGroups,android.provider.Contacts,queryGroups,0,[]
154,android.provider.Contacts setSetting,android.provider.Contacts,setSetting,0,[]
155,android.provider.ContactsContract get,android.provider.ContactsContract,get,0,[]
156,android.provider.ContactsContract getContactLookupUri,android.provider.ContactsContract,getContactLookupUri,0,[]
157,android.provider.ContactsContract getLookupUri,android.provider.ContactsContract,getLookupUri,0,[]
158,android.provider.ContactsContract getWithUri,android.provider.ContactsContract,getWithUri,0,[]
